,iso,glcode,name,lat,lon,genus,family,macroarea,country,tea,level,from
91,amh,amha1245,Amharic,10.0,38.0,Semitic,Afro-Asiatic,Africa,ET,1 Words derived from Sinitic cha,language,wals1
92,ami,amis1246,Amis,23.3333333333,121.333333333,East Formosan,Austronesian,Papunesia,TW,,language,wals1
93,amo,amoo1242,Amo,10.3333333333,8.66666666667,Kainji,Niger-Congo,Africa,NG,,language,wals1
94,apz,safe1240,Ampeeli,-6.75,146.083333333,Angan,Trans-New Guinea,Papunesia,PG,,language,wals1
95,ame,,Amuesha,-10.5,-75.4166666667,,,South America,,,language,wals2
96,amu,guer1243,Amuzgo,16.8333333333,-98.0,Amuzgoan,Oto-Manguean,North America,MX,,language,wals1
97,imi,anam1248,Anamuxra,-4.66666666667,145.0,Madang,Trans-New Guinea,Papunesia,PG,,language,wals1
98,ani,andi1255,Andi,42.75,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,RU,,language,wals1
99,ano,ando1256,Andoke,-0.666666666667,-72.0,Andoke,Andoke,South America,CO,,language,wals1
100,aty,anei1239,Anejom,-20.2,169.8,Oceanic,Austronesian,Papunesia,VU,,language,wals1
101,agm,,Angaataha,-7.21666666667,146.25,,,Papunesia,,,language,wals2
102,agm,anga1290,Angaatiha,-7.21666666667,146.25,Angan,Trans-New Guinea,Papunesia,PG,,language,wals1
103,nri,anga1287,Angami,25.6666666667,94.5,Kuki-Chin,Sino-Tibetan,Eurasia,IN,,language,wals1
104,anc,ngas1240,Angas,9.5,9.5,West Chadic,Afro-Asiatic,Africa,NG,,language,wals1
105,agg,ango1254,Anggor,-3.75,141.166666667,Senagi,Senagi,Papunesia,PG,,language,wals1
106,aoa,ango1258,Angolar,0.25,6.5,Creoles and Pidgins,other,Africa,ST,,language,wals1
107,lnj,leni1238,Anguthimri,-12.3333333333,141.833333333,Northern Pama-Nyungan,Pama-Nyungan,Australia,AU,,language,wals1
108,aoi,anin1240,Anindilyakwa,-14.0,136.5,Anindilyakwa,Gunwinyguan,Australia,AU,,language,wals1
109,nun,nung1282,Anong,27.3333333333,98.75,Nungish,Sino-Tibetan,Eurasia,CN MM,,language,wals1
110,cko,anuf1239,Anufo,10.0833333333,0.25,Kwa,Niger-Congo,Africa,GH TG BJ,,language,wals1
