,skip,language,term,transliteration,item,group,iso,glcode,level,branch,family,macroarea,country,lat,lon,from,text
64,,Kannada,ದಾಲ್ಚಿನ್ನಿ,dālcinni,dālcinni,darchin,kan,nucl1305,language,Southern Dravidian,Dravidian,Eurasia,IN,14.0,76.0,wals1,ದಾಲ್ಚಿನ್ನಿ <br>dālcinni<br>Language: Kannada<br>Family: Dravidian
62,,Jewish Babylonian Aramaic,דַּרְצִינִי,darṣīnī,darṣīnī,darchin,tmr,jewi1240,language,,Afro-Asiatic,Eurasia,IL,32.273,44.245,glot,דַּרְצִינִי‎ <br>darṣīnī<br>Language: Jewish Babylonian Aramaic<br>Family: Afro-Asiatic
9,,Bengali,"দারুচিনি, দারচিনি","darucini, darcini","darucini, darcini",darchin,ben,beng1280,language,Indic,Indo-European,Eurasia,IN BD,24.0,90.0,wals1,"দারুচিনি, দারচিনি<br>darucini, darcini<br>Language: Bengali<br>Family: Indo-European"
94,,Nepali,दालचिनी,dālacinī,dālacinī,darchin,nep,nepa1252,language,Indic,Indo-European,Eurasia,NP,28.0,85.0,wals1,दालचिनी <br>dālacinī<br>Language: Nepali<br>Family: Indo-European
96,,Northern Kurdish,darçîn,,darçîn,darchin,kmr,nort2641,language,,Indo-European,Eurasia,AM AZ IQ IR JO KW SY TM TR,37.0,43.0,glot,darçîn<br>Language: Northern Kurdish<br>Family: Indo-European
18,,Chakma,𑄓𑄣𑄴 𑄌𑄨𑄚𑄨,dal chini,dal chini,darchin,ccp,chak1266,language,,Indo-European,Eurasia,BD IN,23.00148,92.339,glot,𑄓𑄣𑄴 𑄌𑄨𑄚𑄨<br>dal chini<br>Language: Chakma<br>Family: Indo-European
49,,Hakka,肉桂,ngiuk-kui,ngiuk-kui,gui,hak,hakk1236,language,Chinese,Sino-Tibetan,Eurasia,CN,25.0,116.0,wals1,肉桂<br>ngiuk-kui<br>Language: Hakka<br>Family: Sino-Tibetan
140,,Vietnamese,quế,,quế,gui,vie,viet1252,language,Viet-Muong,Austro-Asiatic,Eurasia,VN,10.5,106.5,wals1,quế<br>Language: Vietnamese<br>Family: Austro-Asiatic
15,,Cantonese,肉桂,juk6 gwai3,juk6 gwai3,gui,yue,yuec1235,language,Chinese,Sino-Tibetan,Eurasia,CN,23.0,113.0,wals1,肉桂 <br>juk6 gwai3<br>Language: Cantonese<br>Family: Sino-Tibetan
88,,Min Nan Chinese,肉桂,jio̍k-kuì/lio̍k-kuì　,jio̍k-kuì/lio̍k-kuì　,gui,,minn1241,language,,Sino-Tibetan,Eurasia,CN TW,24.5,118.17,glot,肉桂<br>jio̍k-kuì/lio̍k-kuì　<br>Language: Min Nan Chinese<br>Family: Sino-Tibetan
